organization,programme,economic_category,standard_object,appropriation,amount
Global Affairs Canada,"Companies, Investment and Growth",capital,Acquisition of machinery and equipment,voted,9290857.73
National Defence,Special Operations,operating,Professional and special services,voted,9285374.25
Department of Indigenous Services,Community Infrastructure,personnel,Personnel,statutory,9273384.7
Public Services and Procurement Canada,Information Services,operating,Information,voted,9268538.56
Canadian Space Agency,Space Exploration,transfers,Transfer payments,unknown,9263317.55
Parks Canada,"Heritage Canals, Highways and Townsites Management",operating,Professional and special services,statutory,9259923.86
Fisheries and Oceans Canada,Shore-based Asset Readiness,capital,Acquisition of machinery and equipment,voted,9243539.69
Office of the Chief Electoral Officer,Internal Services,operating,Rentals,statutory,9237506.13
"Innovation, Science and Economic Development Canada",Real Property Management Services,operating,Repair and maintenance,voted,9215744.81
Environment and Climate Change Canada,Information Technology Services,operating,Professional and special services,voted,9176637.52
Treasury Board of Canada Secretariat,"Regulatory Policy, Oversight, and Cooperation",personnel,Personnel,voted,9169758.94
Employment and Social Development Canada,Canada Service Corps,personnel,Personnel,voted,9128882.57
Parks Canada,Real Property Management Services,personnel,Personnel,voted,9112678.79
Canada Revenue Agency,Internal Services,operating,Rentals,statutory,9108535.53
Canada Revenue Agency,Reporting Compliance,operating,Repair and maintenance,voted,9100253.84
Global Affairs Canada,International Assistance Policy,personnel,Personnel,voted,9099836.4
Fisheries and Oceans Canada,Management and Oversight Services,personnel,Personnel,statutory,9099132.21
Immigration and Refugee Board of Canada,Refugee Appeal Decisions,personnel,Personnel,statutory,9091349.46
Employment and Social Development Canada,Canadian Apprenticeship Strategy,personnel,Personnel,voted,9082079.46
Employment and Social Development Canada,New Horizons for Seniors Program,personnel,Personnel,voted,9081707.12
Privy Council Office,Legislative and Parliamentary Governance,personnel,Personnel,voted,9079409.75
Royal Canadian Mounted Police,Forensic Science and Identification Services,personnel,Personnel,statutory,9068562.51
National Security and Intelligence Review Agency Secretariat,National security and intelligence activity reviews and complaints investigations,personnel,Personnel,voted,9065567.62
Environment and Climate Change Canada,"Aquatic Ecosystems Health, Substances and Waste Management",transfers,Transfer payments,unknown,9041164.71
National Defence,Information Management Services,operating,Professional and special services,voted,9039620.91
Crown-Indigenous Relations and Northern Affairs Canada,Northern and Arctic Governance and Partnerships,personnel,Personnel,voted,9000515.56
Office of the Commissioner for Federal Judicial Affairs Canada,Payments pursuant to the Judges Act,other,Other subsidies and payments,statutory,8996766.13
National Research Council Canada,Aerospace,personnel,Personnel,statutory,8983501.09
National Research Council Canada,Internal Services,personnel,Personnel,statutory,8957242.67
Global Affairs Canada,Internal Services,operating,Professional and special services,voted,8935474.64
Employment and Social Development Canada,Canada Education Savings Program,personnel,Personnel,voted,8934575.11
House of Commons,House Administration,operating,Repair and maintenance,voted,8927522.74
"Immigration, Refugees and Citizenship Canada",Human Resources Management Services,personnel,Personnel,statutory,8920293.24
"Immigration, Refugees and Citizenship Canada",Real Property Management Services,operating,Professional and special services,voted,8914396.18
Global Affairs Canada,"Trade Policy, Agreements, Negotiations and Disputes",transfers,Transfer payments,unknown,8912509.35
National Research Council Canada,Real Property Management Services,operating,Professional and special services,statutory,8907618.22
Canada Revenue Agency,Defence Team,operating,Information,voted,8872827.12
Public Safety Canada,Emergency Prevention/Mitigation,transfers,Transfer payments,unknown,8866565.58
Public Health Agency of Canada,Financial Management Services,operating,Professional and special services,voted,8859730.97
Transport Canada,Environmental Stewardship of Transportation,personnel,Personnel,voted,8840023.47
Employment and Social Development Canada,Internal services,other,Other subsidies and payments,voted,8839541.34
Correctional Service Canada,Real Property Management Services,operating,Rentals,voted,8823079.93
Library and Archives Canada,Preservation,capital,"Acquisition of land, buildings and works",statutory,8812423.71
National Defence,Defence Residential Housing Program,operating,"Utilities, materials and supplies",voted,8798015.07
Public Safety Canada,Communications Services,personnel,Personnel,voted,8790131.41
National Defence,Financial Management Services,personnel,Personnel,statutory,8781870.63
Environment and Climate Change Canada,Information Technology Services,personnel,Personnel,statutory,8774813.45
Department of Finance Canada,Communications Services,personnel,Personnel,voted,8774027.74
Natural Resources Canada,Pest Risk Management,transfers,Transfer payments,unknown,8770816.55
Canadian Food Inspection Agency,Legal Services,operating,Professional and special services,voted,8763570.08
Impact Assessment Agency of Canada,"Assessment Administration, Conduct, and Monitoring",transfers,Transfer payments,unknown,8724656.97
Shared Services Canada,Data Centre Information Technology Operations,capital,Acquisition of machinery and equipment,voted,8715571.81
Correctional Service Canada,Internal Services,personnel,Personnel,voted,8706479.49
National Defence,Ready Intelligence Forces,operating,Rentals,voted,8690761.43
Fisheries and Oceans Canada,Real Property Management Services,operating,"Utilities, materials and supplies",voted,8671476.14
Crown-Indigenous Relations and Northern Affairs Canada,Financial Management Services,personnel,Personnel,voted,8664471.05
Agriculture and Agri-Food Canada,Foundational Science and Research,other,Other subsidies and payments,voted,8661474.01
Public Safety Canada,Corrections,transfers,Transfer payments,unknown,8645941.48
National Research Council Canada,Human Health Therapeutics,capital,Acquisition of machinery and equipment,statutory,8638373.49
Veterans Affairs Canada,Procurement Ombud,personnel,Personnel,voted,8628834.78
Canada Revenue Agency,Human Resources Management Services,operating,Rentals,voted,8626110.92
Transport Canada,Transportation Infrastructure,operating,Repair and maintenance,voted,8616321.85
National Defence,Strategic Command and Control,personnel,Personnel,statutory,8612052.01
Public Health Agency of Canada,Laboratory Science Leadership and Services,capital,Acquisition of machinery and equipment,statutory,8600249.33
Fisheries and Oceans Canada,Aquatic Ecosystem Science,operating,Professional and special services,voted,8581826.78
Transport Canada,Aircraft Services,capital,Acquisition of machinery and equipment,voted,8581237.41
Canada Revenue Agency,Acquisition Management Services,personnel,Personnel,voted,8574179.72
Transport Canada,Navigation Protection Program,personnel,Personnel,voted,8573886.31
Statistics Canada,Cost-Recovered Statistical Services,operating,Professional and special services,voted,8566515.71
Department of Indigenous Services,Income Assistance,personnel,Personnel,voted,8556997.25
Transport Canada,Climate Change and Clean Air,operating,Professional and special services,voted,8556189.48
Canada Border Services Agency,Hearings,personnel,Personnel,statutory,8554331.55
"Immigration, Refugees and Citizenship Canada",Miscarriage of Justice Review,other,Other subsidies and payments,statutory,8542660.01
Fisheries and Oceans Canada,Fish and Fish Habitat Protection,personnel,Personnel,statutory,8534115.59
National Defence,Air and Space Wings,operating,Repair and maintenance,voted,8517918.14
Natural Resources Canada,Internal Services,capital,Acquisition of machinery and equipment,statutory,8505900.47
Accessibility Standards Canada,Outreach and Knowledge Application,transfers,Transfer payments,unknown,8498511.0
Parks Canada,"Heritage Canals, Highways and Townsites Management",other,Other subsidies and payments,statutory,8486570.26
Transport Canada,Marine Security Oversight,personnel,Personnel,voted,8482524.94
Canada Border Services Agency,Force Generation,operating,Professional and special services,voted,8469486.97
Public Health Agency of Canada,Chronic Diseases and Conditions,personnel,Personnel,voted,8457586.06
Canada Border Services Agency,Management and Oversight Services,operating,Professional and special services,voted,8454513.0
Global Affairs Canada,Information Management Services,personnel,Personnel,voted,8444681.51
Employment and Social Development Canada,Canada Worker Lockdown Benefit,other,Other subsidies and payments,statutory,8432553.0
Environment and Climate Change Canada,Migratory Birds and Other Wildlife,transfers,Transfer payments,unknown,8427921.0
Public Services and Procurement Canada,Parliament Hill and Surroundings,operating,Rentals,statutory,8414978.2
Natural Resources Canada,Energy Innovation and Clean Technology (EICT),operating,"Utilities, materials and supplies",voted,8404168.28
Transport Canada,Transportation of Dangerous Goods Regulatory Framework,personnel,Personnel,voted,8382674.25
"Innovation, Science and Economic Development Canada",Administration and Interpretation of the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons,personnel,Personnel,statutory,8370496.64
Veterans Affairs Canada,Canada Remembers Program,personnel,Personnel,voted,8344543.94
Atlantic Canada Opportunities Agency,Trade and Investment,transfers,Transfer payments,unknown,8319782.34
Department of Finance Canada,Federal-Provincial Relations and Social Policy,personnel,Personnel,voted,8316044.53
Office of the Chief Electoral Officer,Electoral Data Services,personnel,Personnel,voted,8309286.13
Employment and Social Development Canada,Information Technology Services,operating,Professional and special services,statutory,8305707.2
Public Services and Procurement Canada,Management and Oversight Services,personnel,Personnel,statutory,8297632.31
Office of the Auditor General of Canada,Legislative Audit,operating,Professional and special services,voted,8290248.37
Employment and Social Development Canada,Employment Insurance,operating,Information,voted,8287713.4
Environment and Climate Change Canada,Management and Oversight Services,personnel,Personnel,statutory,8287669.91
National Defence,Land Bases,capital,Acquisition of machinery and equipment,statutory,8266307.67
Royal Canadian Mounted Police,Municipal Policing,other,Other subsidies and payments,voted,8261795.23
Canada Revenue Agency,Real Property Management Services,operating,Rentals,statutory,8260854.02
Employment and Social Development Canada,Acquisition Management Services,personnel,Personnel,voted,8247827.42
Public Health Agency of Canada,Management and Oversight Services,operating,Professional and special services,voted,8247312.87
Department of Indigenous Services,Health Systems Support,personnel,Personnel,voted,8232798.48
Office of the Chief Electoral Officer,Field Management,operating,Transportation and communications,statutory,8229698.53
Transport Canada,Multi-Modal and Road Safety Oversight,transfers,Transfer payments,unknown,8202863.82
Employment and Social Development Canada,Financial Management Services,operating,Professional and special services,voted,8200100.28
Library and Archives Canada,Preservation,operating,Professional and special services,voted,8186955.71
National Defence,Aerospace Equipment Acquisition,operating,Transportation and communications,statutory,8179559.15
National Defence,Ready Land Forces,capital,Acquisition of machinery and equipment,statutory,8175272.06
Canadian Northern Economic Development Agency,Internal Services,personnel,Personnel,voted,8153506.03
Health Canada,Pharmaceutical Drugs,operating,Professional and special services,voted,8149033.92
Canadian Space Agency,Financial Management Services,personnel,Personnel,voted,8148280.03
Crown-Indigenous Relations and Northern Affairs Canada,Northern Strategic and Science Policy,transfers,Transfer payments,unknown,8144317.0
Royal Canadian Mounted Police,Specialized Technical Investigative Services,operating,Transportation and communications,voted,8107906.67
Department of Indigenous Services,Urban Programming for Indigenous Peoples,personnel,Personnel,statutory,8088060.75
Global Affairs Canada,"Real Property Project Delivery, Professional and Technical Services",capital,Acquisition of machinery and equipment,voted,8077813.72
Department of Indigenous Services,Emergency Management Assistance,personnel,Personnel,voted,8077772.74
National Defence,"Science, Technology and Innovation",capital,Acquisition of machinery and equipment,voted,8075091.95
Natural Resources Canada,Freshwater Stewardship,personnel,Personnel,voted,8064294.87
Canada Revenue Agency,Information Technology Services,other,Other subsidies and payments,statutory,8055396.97
Health Canada,Food and Nutrition,personnel,Personnel,statutory,8053802.04
Fisheries and Oceans Canada,Information Technology Services,capital,Acquisition of machinery and equipment,voted,8052189.24
Employment and Social Development Canada,Assisting Canadians abroad and supporting Canada's overseas presence,personnel,Personnel,voted,8046115.41
"Immigration, Refugees and Citizenship Canada",Temporary Workers,other,Other subsidies and payments,statutory,8039585.0
Environment and Climate Change Canada,Habitat Conservation and Protection,operating,Professional and special services,statutory,8030282.59
Public Health Agency of Canada,Emergency Preparedness and Response,personnel,Personnel,statutory,8004136.73
"Housing, Infrastructure and Communities Canada",Major Bridges Oversight,capital,"Acquisition of land, buildings and works",statutory,7994506.78
Fisheries and Oceans Canada,Conservation and Protection,operating,Transportation and communications,voted,7992052.76
Canadian Food Inspection Agency,Animal Health Compliance Promotion,personnel,Personnel,voted,7954711.67
Canadian Institutes of Health Research,Investigator-Initiated Research,personnel,Personnel,voted,7937022.37
Canada Energy Regulator,Internal Services,operating,Professional and special services,voted,7929097.98
Health Canada,Financial Management Services,personnel,Personnel,statutory,7927120.56
Transport Canada,Emergency Management,personnel,Personnel,voted,7921264.47
"Housing, Infrastructure and Communities Canada",Communications Services,personnel,Personnel,voted,7919396.92
Statistics Canada,Management and Oversight Services,personnel,Personnel,voted,7910807.15
Canada School of Public Service,Learning,personnel,Personnel,statutory,7905936.49
Canada Revenue Agency,Objections and Appeals,operating,Rentals,voted,7905576.9
Employment and Social Development Canada,Skills for Success,personnel,Personnel,voted,7903071.35
Department of Justice Canada,Real Property Management Services,personnel,Personnel,voted,7900911.44
Treasury Board of Canada Secretariat,Legal Services,operating,Professional and special services,voted,7897860.4
Global Affairs Canada,Americas International Assistance,personnel,Personnel,voted,7884936.27
Environment and Climate Change Canada,Species at Risk,personnel,Personnel,statutory,7879072.01
Canadian Space Agency,Human Resources Management Services,personnel,Personnel,voted,7875916.56
National Defence,Land Bases,operating,Repair and maintenance,voted,7874519.21
Transport Canada,Marine Safety Oversight,personnel,Personnel,statutory,7863038.97
National Defence,Information Technology Services,capital,Acquisition of machinery and equipment,voted,7860015.57
National Defence,Military Law Services/Military Justice Superintendence,personnel,Personnel,statutory,7854538.66
Atlantic Canada Opportunities Agency,Diversified Communities,personnel,Personnel,voted,7849771.65
Public Safety Canada,Indigenous Policing,personnel,Personnel,voted,7843936.34
National Research Council Canada,Canadian Photonics Fabrication Centre,personnel,Personnel,voted,7801802.61
Global Affairs Canada,Administrative Leadership,personnel,Personnel,voted,7780772.46
Environment and Climate Change Canada,Legal Services,operating,Professional and special services,voted,7779091.84
Fisheries and Oceans Canada,Fleet Procurement,personnel,Personnel,voted,7771367.24
Fisheries and Oceans Canada,Aquaculture Science,personnel,Personnel,voted,7763166.34
Public Prosecution Service of Canada,Internal Services,operating,Transportation and communications,voted,7756473.87
Employment and Social Development Canada,Advancing Canada's Interests and addressing global challenges,personnel,Personnel,voted,7749103.73
National Research Council Canada,Internal Services,capital,Acquisition of machinery and equipment,statutory,7743778.04
Correctional Service Canada,Independent Oversight of Federal Corrections,personnel,Personnel,voted,7729813.09
Employment and Social Development Canada,Skilled Trades and Apprenticeship (Red Seal Program),personnel,Personnel,voted,7727880.59
Natural Resources Canada,Geological Knowledge for Canada's Onshore and Offshore Land,operating,Rentals,voted,7727010.85
Fisheries and Oceans Canada,Materiel Management Services,personnel,Personnel,voted,7717074.24
Parks Canada,Information Delivery and Services for Other Departments,capital,Acquisition of machinery and equipment,voted,7716021.29
Privy Council Office,Intergovernmental Affairs,personnel,Personnel,voted,7715359.66
National Defence,Air and Space Wings,operating,Transportation and communications,voted,7711831.35
National Defence,Defence Infrastructure Program Management,operating,Professional and special services,statutory,7706135.49
"Innovation, Science and Economic Development Canada",Marketplace Protection and Promotion,operating,Professional and special services,voted,7705569.11
National Defence,Military Transition,operating,Professional and special services,voted,7677585.82
Polar Knowledge Canada,Science and Technology,transfers,Transfer payments,voted,7674680.57
"Innovation, Science and Economic Development Canada",Management and Oversight Services,personnel,Personnel,statutory,7670647.63
Transport Canada,Aircraft Services,operating,Repair and maintenance,voted,7663733.78
National Defence,Materiel Management Services,operating,Professional and special services,voted,7659618.48
Global Affairs Canada,Law Review,personnel,Personnel,voted,7645273.45
Global Affairs Canada,Administrative Leadership,operating,Transportation and communications,voted,7636349.62
Canadian Space Agency,Space Utilization,transfers,Transfer payments,unknown,7632525.6
National Defence,Aerospace Equipment Acquisition,operating,Professional and special services,voted,7625005.45
Agriculture and Agri-Food Canada,African Swine Fever Response,transfers,Transfer payments,unknown,7595922.08
Environment and Climate Change Canada,Internal Services,operating,Information,voted,7584797.39
Global Affairs Canada,Communications Services,personnel,Personnel,statutory,7583958.46
Department of Indigenous Services,Communities and the Environment,operating,Professional and special services,voted,7583740.4
Veterans Affairs Canada,Veterans Independence Program,operating,Professional and special services,voted,7582777.2
Department of Justice Canada,Communications Services,personnel,Personnel,voted,7579596.11
Public Health Agency of Canada,Communicable Disease and Infection Control,operating,Professional and special services,voted,7578723.64
National Defence,Military History and Heritage,operating,Professional and special services,voted,7575436.49
National Film Board,Promotion of works and National Film Board outreach,personnel,Personnel,voted,7565160.87
Fisheries and Oceans Canada,Information Technology Services,operating,Professional and special services,statutory,7549828.36
Department of Indigenous Services,Financial Management Services,operating,Professional and special services,voted,7511688.26
National Defence,Ready Cyber and Joint Communication and Information Systems (JCIS) Forces,operating,Professional and special services,statutory,7498933.01
Canadian Food Inspection Agency,Setting Rules for Food Safety and Consumer Protection,personnel,Personnel,statutory,7491386.41
"Immigration, Refugees and Citizenship Canada",Miscarriage of Justice Review,operating,Professional and special services,voted,7486598.45
Agriculture and Agri-Food Canada,Pest Management,personnel,Personnel,voted,7486090.49
National Defence,Safety,personnel,Personnel,voted,7484764.25
Office of the Commissioner of Official Languages,Protection of Official Languages Rights,personnel,Personnel,voted,7468456.83
National Defence,International Operations,other,Other subsidies and payments,voted,7466849.63
Parks Canada,Information Delivery and Services for Other Departments,operating,Rentals,voted,7458257.68
National Defence,"Joint, Common and International Bases",capital,Acquisition of machinery and equipment,statutory,7452856.17
Environment and Climate Change Canada,Internal services,operating,Transportation and communications,voted,7452091.22
Health Canada,Health Impacts of Chemicals,operating,Professional and special services,voted,7441800.52
"Immigration, Refugees and Citizenship Canada",Refugee Resettlement,personnel,Personnel,statutory,7437208.07
Canadian Food Inspection Agency,Monitoring and Enforcement for Animal Health,personnel,Personnel,statutory,7435368.5
Health Canada,Physical security,personnel,Personnel,statutory,7431843.16
Canada Border Services Agency,Removals,personnel,Personnel,statutory,7417469.1
Senate,"Senators, House Officers, and their Offices",operating,Transportation and communications,statutory,7413492.93
Royal Canadian Mounted Police,Federal Policing National Governance,operating,Professional and special services,voted,7410214.0
Canadian Space Agency,Information Technology Services,personnel,Personnel,voted,7403401.18
Canadian Heritage,Financial Management Services,personnel,Personnel,voted,7402531.68
National Defence,Ombudsman,personnel,Personnel,voted,7395066.92
Parks Canada,Heritage Places Conservation,operating,Transportation and communications,voted,7394893.72
Royal Canadian Mounted Police,Information Technology Services,operating,Professional and special services,statutory,7367581.87
Royal Canadian Mounted Police,Federal Policing Intelligence,personnel,Personnel,unknown,7335962.58
"Housing, Infrastructure and Communities Canada",Major Bridges Oversight,operating,Professional and special services,voted,7331727.76
Employment and Social Development Canada,Internal services,personnel,Personnel,statutory,7328587.16
Parole Board of Canada,Record Suspension/Pardon and Expungement Decisions/Clemency Recommendations,personnel,Personnel,voted,7313298.28
Global Affairs Canada,Quasi-Judicial Review of Certain Ministerial Conclusions,personnel,Personnel,voted,7310884.97
Parks Canada,Heritage Places Conservation,other,Other subsidies and payments,unknown,7296995.0
Financial Transactions and Reports Analysis Centre of Canada,Internal Services,personnel,Personnel,voted,7287807.26
Canada Revenue Agency,Defence Team,personnel,Personnel,statutory,7287100.78
Canada Border Services Agency,Force Generation,personnel,Personnel,statutory,7285722.53
Public Services and Procurement Canada,Information Technology Services,operating,Professional and special services,statutory,7259398.18
Canada Revenue Agency,Real Property Management Services,capital,Acquisition of machinery and equipment,voted,7252387.66
Environment and Climate Change Canada,Species at Risk,operating,Professional and special services,voted,7247235.55
Fisheries and Oceans Canada,Aquatic Ecosystem Science,capital,Acquisition of machinery and equipment,voted,7233504.03
Parks Canada,"Heritage Canals, Highways and Townsites Management",personnel,Personnel,statutory,7227214.33
"Housing, Infrastructure and Communities Canada",Information Management Services,personnel,Personnel,voted,7213064.4
National Research Council Canada,Research Information Technology Platforms (Enabling),operating,Professional and special services,statutory,7190789.54
Agriculture and Agri-Food Canada,Foundational Science and Research,operating,Professional and special services,statutory,7186670.08
Canada Border Services Agency,Targeting,operating,Repair and maintenance,voted,7180138.43
National Defence,Joint Force Development,capital,Acquisition of machinery and equipment,statutory,7164365.74
Royal Canadian Mounted Police,Financial Management Services,operating,Professional and special services,statutory,7154530.64
Global Affairs Canada,Internal Services,personnel,Personnel,statutory,7151262.99
Health Canada,Information Management Services,personnel,Personnel,voted,7147937.16
National Defence,Environmental Management and Climate Action,personnel,Personnel,voted,7133004.56
Veterans Affairs Canada,Canada Remembers Program,operating,Professional and special services,voted,7129964.42
Employment and Social Development Canada,Real Property Management Services,capital,Acquisition of machinery and equipment,voted,7126778.08
Royal Canadian Mounted Police,Provincial/Territorial Policing,operating,Professional and special services,statutory,7125125.63
National Defence,Ready Air and Space Forces,other,Other subsidies and payments,voted,7118042.14
Public Safety Canada,Information Technology Services,personnel,Personnel,voted,7118023.93
Financial Consumer Agency of Canada,"Research, Policy and Education",personnel,Personnel,statutory,7115284.77
"Immigration, Refugees and Citizenship Canada",Settlement,personnel,Personnel,statutory,7105646.63
Health Canada,Real Property Management Services,personnel,Personnel,statutory,7092798.44
National Defence,Naval Bases,operating,"Utilities, materials and supplies",voted,7075071.5
Transport Canada,Indigenous Partnerships and Engagement,personnel,Personnel,voted,7067480.68
National Defence,Air and Space Force Development,operating,Professional and special services,statutory,7061812.32
Employment and Social Development Canada,Management and Oversight Services,operating,Transportation and communications,voted,7055018.78
Canada Border Services Agency,Acquisition Management Services,personnel,Personnel,voted,7054551.3
Department of Justice Canada,"Legal Policies, Laws and Governance",operating,Professional and special services,voted,7043424.84
Royal Canadian Mounted Police,Financial Management Services,operating,Professional and special services,voted,7036689.61
Shared Services Canada,Security,capital,Acquisition of machinery and equipment,statutory,7036560.52
"Innovation, Science and Economic Development Canada",Advancing Gender Equality,personnel,Personnel,voted,7034129.09
Office of the Chief Electoral Officer,Political Entities Regulatory Compliance,personnel,Personnel,voted,7029450.42
Canada Energy Regulator,Internal Services,personnel,Personnel,statutory,7026056.62
Public Services and Procurement Canada,Procurement Program,capital,Acquisition of machinery and equipment,statutory,7024843.3
Canada Economic Development for Quebec Regions,Vitality of communities,personnel,Personnel,voted,7024695.46
Veterans Affairs Canada,Health Care Benefits,personnel,Personnel,statutory,7022832.23
Fisheries and Oceans Canada,Shore-based Asset Readiness,capital,"Acquisition of land, buildings and works",statutory,7013446.49
Environment and Climate Change Canada,Information Management Services,personnel,Personnel,voted,7006555.15
Treasury Board of Canada Secretariat,Digital Government Program,personnel,Personnel,statutory,6997762.65
Environment and Climate Change Canada,Biodiversity Policy and Partnerships,personnel,Personnel,voted,6993879.72
Canada Border Services Agency,Criminal Investigations,personnel,Personnel,statutory,6993536.44
Department of Justice Canada,Advisory Services,operating,Professional and special services,voted,6977534.25
Fisheries and Oceans Canada,Small Craft Harbours,personnel,Personnel,statutory,6970727.45
Natural Resources Canada,Geoscience for Sustainable Development of Natural Resources,operating,Professional and special services,voted,6966539.94
Library and Archives Canada,Acquisition and processing of private archives,personnel,Personnel,voted,6964016.59
Transport Canada,Management and Oversight Services,personnel,Personnel,statutory,6952444.6
National Defence,Joint Force Development,personnel,Personnel,statutory,6932307.76
Environment and Climate Change Canada,Water Quality and Ecosystems Partnerships,capital,Acquisition of machinery and equipment,statutory,6930747.52
Public Services and Procurement Canada,Procurement Program,operating,"Utilities, materials and supplies",voted,6926748.69
Public Health Agency of Canada,Vaccination,personnel,Personnel,statutory,6926125.76
Employment and Social Development Canada,Service Delivery Partnerships,operating,Professional and special services,statutory,6925401.06
House of Commons,Members and House Officers,operating,"Utilities, materials and supplies",voted,6923675.04
Health Canada,Information Technology Services,operating,Rentals,statutory,6918005.16
Global Affairs Canada,"Real Property Project Delivery, Professional and Technical Services",operating,Repair and maintenance,voted,6912345.33
Canadian Radio-television and Telecommunications Commission,Internal Services,personnel,Personnel,statutory,6903085.73
Canada Border Services Agency,Internal Services,operating,"Utilities, materials and supplies",voted,6898070.54
Environment and Climate Change Canada,Canada Water Agency,personnel,Personnel,voted,6891948.3
Fisheries and Oceans Canada,Fisheries Science,operating,Rentals,voted,6887792.62
Prairies Economic Development Canada,Business Growth,personnel,Personnel,voted,6884018.02
"Innovation, Science and Economic Development Canada",Intellectual Property,operating,Rentals,statutory,6879438.1
Canadian Human Rights Commission,Audit Program,personnel,Personnel,voted,6878624.19
Fisheries and Oceans Canada,Conservation and Protection,capital,Acquisition of machinery and equipment,voted,6868308.58
Parks Canada,Heritage Places Promotion and Public Support,personnel,Personnel,statutory,6819941.66
Shared Services Canada,Workplace Technologies,personnel,Personnel,statutory,6798690.63
Canada Revenue Agency,Reporting Compliance,operating,Transportation and communications,voted,6794452.25
Public Health Agency of Canada,Emergency Preparedness and Response,operating,Professional and special services,statutory,6787423.65
Shared Services Canada,Management and Oversight Services,operating,Professional and special services,voted,6783058.52
Social Sciences and Humanities Research Council of Canada,Research Partnerships,personnel,Personnel,voted,6773962.45
Fisheries and Oceans Canada,Fleet Operational Capability,capital,Acquisition of machinery and equipment,voted,6748382.54
"Immigration, Refugees and Citizenship Canada",Real Property Management Services,personnel,Personnel,voted,6746454.93
Parks Canada,Heritage Places Conservation,other,Other subsidies and payments,statutory,6740256.97
Environment and Climate Change Canada,Water Quality and Ecosystems Partnerships,operating,"Utilities, materials and supplies",voted,6737581.17
House of Commons,Members and House Officers,operating,Transportation and communications,voted,6728849.11
Shared Services Canada,Internal Services,operating,Rentals,voted,6720468.33
Canada Revenue Agency,Internal Services,operating,Repair and maintenance,voted,6716241.06
Canadian Space Agency,Real Property Management Services,operating,Repair and maintenance,statutory,6712569.61
National Defence,International Operations,personnel,Personnel,statutory,6701672.07
"Innovation, Science and Economic Development Canada",Support  for Small Business,personnel,Personnel,voted,6697200.45
Global Affairs Canada,Sub-Saharan Africa Trade,personnel,Personnel,voted,6693361.86
National Defence,"Defence Infrastructure Construction, Recapitalization and Investment",personnel,Personnel,voted,6685807.83
National Defence,"Science, Technology and Innovation",operating,Professional and special services,statutory,6681155.78
Veterans Affairs Canada,Transition Support,personnel,Personnel,statutory,6666029.95
Department of Justice Canada,"Legal Policies, Laws and Governance",personnel,Personnel,statutory,6665216.63
Parks Canada,Information Delivery and Services for Other Departments,transfers,Transfer payments,voted,6661864.08
Pacific Economic Development Agency of Canada,Internal Services,personnel,Personnel,voted,6660729.94
Canada Revenue Agency,Defence Team,operating,"Utilities, materials and supplies",voted,6655000.47
Department of Indigenous Services,Elementary and Secondary Education,personnel,Personnel,statutory,6654890.47
"Immigration, Refugees and Citizenship Canada",Regional Economic Immigration,personnel,Personnel,statutory,6652844.39
Environment and Climate Change Canada,Funding Health Research and Training,operating,Professional and special services,voted,6649150.96
Environment and Climate Change Canada,Funding Health Research and Training,personnel,Personnel,statutory,6642530.95
"Immigration, Refugees and Citizenship Canada",Internal Services,operating,"Utilities, materials and supplies",voted,6627634.14
Environment and Climate Change Canada,Funding Health Research and Training,capital,Acquisition of machinery and equipment,statutory,6627542.56
National Defence,Maritime Equipment Acquisition,operating,Transportation and communications,statutory,6617033.4
Financial Consumer Agency of Canada,Internal Services,operating,Professional and special services,statutory,6616025.0
Public Services and Procurement Canada,Marine Operations and Response,other,Other subsidies and payments,voted,6611411.47
Transportation Safety Board of Canada,Internal Services,personnel,Personnel,voted,6601846.45
Fisheries and Oceans Canada,Real Property Management Services,operating,Rentals,voted,6600409.16
Global Affairs Canada,International Business Development,operating,Professional and special services,voted,6599565.24
Agriculture and Agri-Food Canada,Real Property Management Services,other,Other subsidies and payments,voted,6598653.68
Fisheries and Oceans Canada,Shore-based Asset Readiness,operating,Professional and special services,voted,6598159.49
Canadian Heritage,"National Celebrations, Commemorations and Symbols",operating,Professional and special services,voted,6597433.21
National Research Council Canada,Human Health Therapeutics,operating,Professional and special services,statutory,6593939.19
National Defence,Land Force Development,operating,Professional and special services,voted,6593283.01
Public Health Agency of Canada,Laboratory Science Leadership and Services,operating,Professional and special services,voted,6590810.84
Shared Services Canada,Information Technology Services,operating,Rentals,voted,6586601.94
"Innovation, Science and Economic Development Canada",Information Technology Services,personnel,Personnel,statutory,6575199.08
Treasury Board of Canada Secretariat,Information Technology Services,operating,Rentals,voted,6572385.12
Public Services and Procurement Canada,Financial Management Services,operating,Professional and special services,voted,6561807.04
Agriculture and Agri-Food Canada,Information Technology Services,operating,Rentals,voted,6560552.91
Canada Revenue Agency,Returns Compliance,operating,Professional and special services,voted,6558989.58
Environment and Climate Change Canada,Water Quality and Ecosystems Partnerships,operating,Professional and special services,statutory,6549421.78
Offices of the Information and Privacy Commissioners of Canada,Internal Services - Office of the Privacy Commissioner,personnel,Personnel,voted,6542505.89
Office of the Commissioner for Federal Judicial Affairs Canada,Office of the Commissioner for Federal Judicial Affairs,personnel,Personnel,voted,6532567.17
"Immigration, Refugees and Citizenship Canada",Financial Management Services,personnel,Personnel,statutory,6523565.32
