organization,programme,economic_category,standard_object,appropriation,amount
Canada Revenue Agency,Management and Oversight Services,operating,Rentals,statutory,124323.52
Crown-Indigenous Relations and Northern Affairs Canada,Support for Indigenous Engagement and Capacity,operating,Rentals,voted,124196.75
Fisheries and Oceans Canada,Fish and Seafood Sector,operating,Professional and special services,voted,124085.88
National Defence,Maritime Equipment Acquisition,other,Other subsidies and payments,voted,123979.83
Canada Energy Regulator,"Infrastructure, Tolls and Export Applications",operating,Information,voted,123903.5
Agriculture and Agri-Food Canada,Foundational Science and Research,operating,Rentals,statutory,123838.37
Public Services and Procurement Canada,Canadian Tourism Commission,capital,Acquisition of machinery and equipment,voted,123835.43
Global Affairs Canada,Information Technology Services,operating,Professional and special services,statutory,123639.25
Transport Canada,Real Property Management Services,operating,Transportation and communications,voted,123609.44
Correctional Service Canada,Commemoration,capital,Acquisition of machinery and equipment,voted,123604.18
Canada Border Services Agency,Removals,operating,Repair and maintenance,voted,123298.32
Financial Consumer Agency of Canada,Supervision and Enforcement,operating,Transportation and communications,statutory,123273.99
Natural Resources Canada,Real Property Management Services,operating,Professional and special services,statutory,123268.49
Public Safety Canada,Serious and Organized Crime,operating,Rentals,voted,122852.72
Correctional Service Canada,Internal Services,operating,Information,voted,122754.6
Natural Sciences and Engineering Research Council of Canada,Financial Management Services,operating,Professional and special services,voted,122669.42
Treasury Board of Canada Secretariat,Digital Government Program,operating,"Utilities, materials and supplies",voted,122473.07
Copyright Board Canada,Public Service Staffing and Non-partisanship,operating,Rentals,voted,122375.55
Veterans Review and Appeal Board,Review and Appeal,operating,"Utilities, materials and supplies",voted,122366.76
Canadian Nuclear Safety Commission,Nuclear Reactors Program,operating,Information,statutory,122349.57
Public Safety Canada,Information Technology Services,operating,Transportation and communications,voted,122267.36
Canadian Northern Economic Development Agency,Northern Projects Management,operating,Rentals,voted,122235.59
Global Affairs Canada,Communications Services,operating,Transportation and communications,voted,121858.72
Global Affairs Canada,"Europe, Arctic, Middle East and Maghreb Trade",operating,"Utilities, materials and supplies",voted,121578.22
Canadian Institutes of Health Research,Real Property Management Services,personnel,Personnel,statutory,121563.49
Health Canada,Human Resources Management Services,other,Other subsidies and payments,voted,121464.59
National Film Board,Care and Custody,operating,"Utilities, materials and supplies",voted,121455.86
Transport Canada,Climate Change and Clean Air,operating,Repair and maintenance,voted,121449.69
