notice_number,buyer_name,supplier_name,title,awarded_cad,overrun_cad,expense_count,reason,overrun_pct,seao_url
1044858,Commission scolaire du Lac-Saint-Jean..,Diplomatiqc,"Service de recrutement, inscription, formation à distance en ligne en formation générale des adultes pour les matières à sanction.",300000.0,5339094.0,1,Dépenses variables selon les demandes,1779.7,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=da8dcc2d-0d70-4e60-aee1-817a40794c94
1378721,SQI-Direction Gestion de projets Ouest du Québec,TBC Constructions Inc.,Travaux en mécanique électrique - Hôpital Maisonneuve-Rosemont,7138000.0,5162000.0,1,Condition imprévisible de chantier,72.3,
554768,SQI-Direction des contrats,Entreprise de Construction TEQ inc.,Appel d'offres deux étapes - Construction-Étape 1-Qualification - Hôpital Maisonneuve-Rosemont Agrandissement et rénovation fonctionnelle de l'urgence,38578000.0,5068173.02,1,Imprévu de chantier,13.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=3fe35f52-1a88-4877-8acb-4e64fc10d9ae
1244846,SQI-Direction Gestion de projets Est 1 (SQI-Gestion de projets Québec CMO),Consortium GENIVAR / SNC-Lavalin,"Promenade Samuel-De Champlain – Phase III – Volet ingénierie – Concept, plans et devis préliminaires et définitifs",942659.33,5015515.06,3,Forfaitisation et majoration des honoraires,532.1,http://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=785ebcab-3eb7-4b5c-b45e-a44366c936f0
745374,Commission scolaire de Montréal / BDA,Construction SOCAM Ltée,École Félix Leclerc - Agrandissement (087017790),8787000.0,4800000.0,1,SRM022944,54.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=11e8b81d-cf7c-4232-961e-fe55cae7889e
556082,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Pomerleau Inc.,"Réparation de l'autoroute Dufferin-Montmorency, phase VI aux sections C1, D1, D2 et E1 ainsi qu'aux bretelles B3, B7, D3, D4, D5, D6 et E2 (Québec)",14676181.53,4679490.2,4,Poursuites judiciaires ou réclamations,31.9,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=3d2e0154-b663-48d0-9172-3529ff4eee13
701469,Centre Hospitalier de l'Université de Montréal. CHUM,Gestion Elijean,Honoraires professionnels de gestion médico-administrative,10200000.0,4650000.0,1,Les besoins des patients ayant un trouble d'identité du genre pour des chirurgies de changement de sexe sont supérieurs aux estimations faites.,45.6,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=16fdc937-a307-4076-b146-1f1d2ef31a06
396602,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Excavation De Chicoutimi Inc..,"Terrassement, drainage, ponceaux, et divers travaux sur la route 175 (Stoneham-et-Tewkesbury)",28870000.0,4646504.58,4,Dépassement relié à des variations de quantité et/ou des modifications au contrat de construction ou de services de nature technique,16.1,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=b88a940e-9924-4846-a38e-c7d9df31f48a
939637,"Ministère des Transports, de la Mobilité durable et de l'Électrification des transports (Direction des contrats de construction et de services)",Groupe TNT Inc.,STRUCTURE COMPLEXE-Construction de deux structures ainsi que divers travaux connexes à l’intersection des autoroutes 20 et 520 (Dorval),17650056.71,4560743.8,2,Dépassement relié à des variations de quantité et/ou des modifications au contrat de construction ou de services de nature technique,25.8,https://www.seao.ca/OpportunityPublication/avisconsultes.aspx?ItemId=84d0f259-6275-49f7-a895-23344fc02d38
1280804,SQI-Direction Gestion de projets Est SSS,JODOIN LAMARRE PRATTE | YELLE MAILLÉ | JUBINVILLE architectes en consortium,"Services professionnels en architecture - Agrandissement et réaménagement Hôpital Fleurimont Construction du centre mère-enfant et de l’urgence pour le 3001, 12E Avenue Nord, Sherbrooke (Québec)",6758816.0,4260275.0,1,"Forfaitisation des honoraires de base, majoration de rémunération et de la provision pour les services additionnels et des dépenses",63.0,
