jurisdiction,fiscal_year,organization,programme,kind,amount
ca-federal,2024-25,Department of Indigenous Services,Contributions to support First Nations Elementary and Secondary Educational Advancement,transfer,2558613825.83
ca-federal,2024-25,Department of Health,Contributions to Provinces and Territories for Shared Health Priorities,transfer,2550192350.0
ca-federal,2024-25,"Department of Housing, Infrastructure and Communities",Investing in Canada Infrastructure Program,transfer,2490000727.08
ca-federal,2024-25,"Department of Housing, Infrastructure and Communities",(S) Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),transfer,2368157557.0
ca-federal,2024-25,Department of Veterans Affairs,Pain and Suffering Compensation,transfer,2305747175.68
ca-federal,2024-25,Department of Health,Payments to provinces and territories for the Purpose of Home Care and Mental Health,transfer,1800312300.0
ca-federal,2024-25,Department of Crown-Indigenous Relations and Northern Affairs,Grants to implement comprehensive land claims and self-government agreements and other agreements to address Section 35 Rights,transfer,1748519150.78
ca-federal,2024-25,Department of Industry,Contributions under the Strategic Innovation Fund,transfer,1703467211.0
ca-federal,2024-25,Department of Indigenous Services,Grant to support the new fiscal relationship for First Nations under the Indian Act,transfer,1677434947.85
ca-federal,2024-25,Department of Health,Dental benefits in relation to the Canadian Dental Care Plan,transfer,1647931186.19
ca-federal,2024-25,Department of Indigenous Services,Contributions for First Nations and Inuit Health Infrastructure Support,transfer,1489374652.82
qc,2021-22,Santé et Services sociaux,Services dispensés à la population,programme,40432031000.0
qc,2021-22,Éducation,Éducation préscolaire et enseignement primaire et secondaire,programme,13065151000.0
qc,2021-22,Santé et Services sociaux,Régie de l’assurance maladie du Québec,programme,10880937000.0
qc,2021-22,Enseignement supérieur,Enseignement supérieur,programme,6726346000.0
qc,2021-22,Finances,Service de la dette,programme,6399374000.0
qc,2021-22,Transports,Administration et services corporatifs,programme,5783924000.0
qc,2021-22,Santé et Services sociaux,Fonctions de coordination,programme,4424296000.0
qc,2021-22,"Travail, Emploi et Solidarité sociale",Mesures d’aide financière,programme,2910904000.0
qc,2021-22,Transports,Infrastructures et systèmes de transport,programme,2898656000.0
qc,2021-22,Famille,Services de garde,programme,2862474000.0
qc,2021-22,Éducation,Administration,programme,2517614000.0
qc,2021-22,Éducation,Taxe scolaire – Subvention d’équilibre fiscal,programme,1492309000.0
qc,2021-22,Affaires municipales et Habitation,Habitation,programme,1180107000.0
qc,2021-22,Éducation,Régimes de retraite,programme,1136037000.0
qc,2021-22,Culture et Communications,"Soutien et développement de la culture, des communications et du patrimoine",programme,992230000.0
qc,2021-22,"Travail, Emploi et Solidarité sociale",Mesures d’aide à l’emploi,programme,888176000.0
qc,2021-22,Affaires municipales et Habitation,Compensations tenant lieu de taxes et soutien aux municipalités,programme,846473000.0
qc,2021-22,Sécurité publique,Services de la Sûreté du Québec,programme,811971000.0
qc,2021-22,Enseignement supérieur,Aide financière aux études,programme,774043000.0
qc,2021-22,Économie et Innovation,Développement de l’économie,programme,729734000.0
qc,2021-22,"Agriculture, Pêcheries et Alimentation","Développement des entreprises bioalimentaires, formation et qualité des aliments",programme,729460000.0
qc,2021-22,"Travail, Emploi et Solidarité sociale","Gouvernance, administration et services à la clientèle",programme,576187000.0
qc,2021-22,Conseil du trésor et Administration gouvernementale,Soutien aux fonctions gouvernementales,programme,562397000.0
qc,2021-22,Sécurité publique,Gestion du système correctionnel,programme,558808000.0
qc,2021-22,Environnement et Lutte contre les changements climatiques,Protection de l’environnement,programme,505665000.0
qc,2022-23,Sant� et Services sociaux,Services dispens�s � la population,programme,45796666000.0
qc,2022-23,�ducation,�ducation pr�scolaire et enseignement primaire et secondaire,programme,17209954000.0
qc,2022-23,Sant� et Services sociaux,R�gie de l'assurance maladie du Qu�bec,programme,10670177000.0
qc,2022-23,Enseignement sup�rieur,Enseignement sup�rieur,programme,7445700000.0
qc,2022-23,Finances,Service de la dette,programme,7266537000.0
qc,2022-23,"Travail, Emploi et Solidarit� sociale",Mesures d'aide financi�re,programme,3240395000.0
qc,2022-23,Famille,Services de garde,programme,3069194000.0
qc,2022-23,Transports,Infrastructures et syst�mes de transport,programme,2679842000.0
qc,2022-23,�ducation,Administration,programme,2678566000.0
qc,2022-23,Conseil du tr�sor et Administration gouvernementale,Soutien aux fonctions gouvernementales,programme,2058438000.0
qc,2022-23,�ducation,Taxe scolaire � Subvention d��quilibre fiscal,programme,1492130000.0
qc,2022-23,�ducation,R�gimes de retraite,programme,1330881000.0
qc,2022-23,Affaires municipales et Habitation,Habitation,programme,1321831000.0
qc,2022-23,"Travail, Emploi et Solidarit� sociale",Mesures d'aide � l'emploi,programme,1194491000.0
qc,2022-23,Culture et Communications,"Soutien et d�veloppement de la culture, des communications et du patrimoine",programme,945177000.0
qc,2022-23,Affaires municipales et Habitation,Soutien aux activit�s minist�rielles,programme,933629000.0
qc,2022-23,Affaires municipales et Habitation,Compensations tenant lieu de taxes et soutien aux municipalit�s,programme,917451000.0
qc,2022-23,Enseignement sup�rieur,Aide financi�re aux �tudes et bourses incitatives,programme,877138000.0
qc,2022-23,S�curit� publique,Services de la S�ret� du Qu�bec,programme,850082000.0
qc,2022-23,"Agriculture, P�cheries et Alimentation",D�veloppement des entreprises bioalimentaires et qualit� des aliments,programme,746225000.0
qc,2022-23,S�curit� publique,Gestion du syst�me correctionnel,programme,610456000.0
qc,2022-23,"Travail, Emploi et Solidarit� sociale","Gouvernance, administration et services � la client�le",programme,584103000.0
qc,2022-23,Affaires municipales et Habitation,Modernisation des infrastructures municipales,programme,532425000.0
qc,2022-23,Conseil du tr�sor et Administration gouvernementale,R�gimes de retraite et d'assurances,programme,524768000.0
qc,2022-23,�conomie et Innovation,Interventions relatives au Fonds du d�veloppement �conomique,programme,521649000.0
qc,2023-24,Santé et Services sociaux,Services dispensés à la population,programme,45504920000.0
qc,2023-24,Éducation,Éducation préscolaire et enseignement primaire et secondaire,programme,18157239000.0
qc,2023-24,Santé et Services sociaux,Régie de l'assurance maladie du Québec,programme,11490676000.0
qc,2023-24,Enseignement supérieur,Enseignement supérieur,programme,7854079000.0
qc,2023-24,Finances,Service de la dette,programme,6809846000.0
qc,2023-24,Famille,Services de garde,programme,3794042000.0
qc,2023-24,Emploi et Solidarité sociale,Solidarité sociale et Action communautaire,programme,3646542000.0
qc,2023-24,Transports et Mobilité durable,Infrastructures et systèmes de transport,programme,2322506000.0
qc,2023-24,Éducation,Taxe scolaire – Subvention d’équilibre fiscal,programme,1488707000.0
qc,2023-24,Affaires municipales et Habitation,Habitation,programme,1436045000.0
qc,2023-24,Affaires municipales et Habitation,Compensations tenant lieu de taxes et soutien aux municipalités,programme,1231801000.0
qc,2023-24,Éducation,Régimes de retraite,programme,1228708000.0
qc,2023-24,Emploi et Solidarité sociale,Emploi,programme,1027319000.0
qc,2023-24,Enseignement supérieur,Aide financière aux études et bourses incitatives,programme,1017987000.0
qc,2023-24,Sécurité publique,Services de la Sûreté du Québec,programme,997252000.0
qc,2023-24,Affaires municipales et Habitation,Modernisation des infrastructures municipales,programme,987300000.0
qc,2023-24,Culture et Communications,"Soutien et développement de la culture, des communications et du patrimoine",programme,945442000.0
qc,2023-24,"Agriculture, Pêcheries et Alimentation",Développement des entreprises bioalimentaires et qualité des aliments,programme,773802000.0
qc,2023-24,Ressources naturelles et Forêts,Gestion des ressources naturelles et forestières,programme,737866000.0
qc,2023-24,Justice,Administration de la justice,programme,705987000.0
qc,2023-24,"Économie, Innovation et Énergie",Interventions relatives au Fonds du développement économique,programme,658363000.0
qc,2023-24,Sécurité publique,Gestion du système correctionnel,programme,651065000.0
qc,2023-24,"Environnement, Lutte contre les changements climatiques, Faune",Protection de l'environnement et de la faune,programme,568406000.0
qc,2023-24,Emploi et Solidarité sociale,"Gouvernance, administration et services à la clientèle",programme,564513000.0
qc,2023-24,"Immigration, Francisation et Intégration","Immigration, francisation et intégration",programme,517315000.0
qc,2024-25,Santé et Services sociaux,Services dispensés à la population,programme,48382264000.0
qc,2024-25,Éducation,Éducation préscolaire et enseignement primaire et secondaire,programme,19641469000.0
qc,2024-25,Santé et Services sociaux,Régie de l'assurance maladie du Québec,programme,11614567000.0
qc,2024-25,Enseignement supérieur,Enseignement supérieur,programme,8769103000.0
qc,2024-25,Finances,Service de la dette,programme,6987598000.0
qc,2024-25,Emploi et Solidarité sociale,Solidarité sociale et Action communautaire,programme,3882375000.0
qc,2024-25,Famille,Services de garde éducatifs à l'enfance,programme,3846539000.0
qc,2024-25,Transports et Mobilité durable,Infrastructures et systèmes de transport,programme,3691095000.0
qc,2024-25,Éducation,Régimes de retraite,programme,1536489000.0
qc,2024-25,Éducation,Taxe scolaire – Subvention d'équilibre fiscal,programme,1485612000.0
qc,2024-25,"Économie, Innovation et Énergie",Interventions relatives au Fonds du développement économique,programme,1457701000.0
qc,2024-25,Affaires municipales et Habitation,Compensations tenant lieu de taxes et soutien aux municipalités,programme,1436322000.0
qc,2024-25,Conseil du trésor et Administration gouvernementale,Soutien aux fonctions gouvernementales,programme,1327534000.0
qc,2024-25,Enseignement supérieur,Aide financière aux études et bourses incitatives,programme,1175981000.0
qc,2024-25,Affaires municipales et Habitation,Habitation,programme,1053390000.0
qc,2024-25,Sécurité publique,Services de la Sûreté du Québec,programme,1051210000.0
qc,2024-25,Culture et Communications,"Soutien et développement de la culture, des communications et du patrimoine",programme,992987000.0
qc,2024-25,Emploi et Solidarité sociale,Emploi,programme,955864000.0
qc,2024-25,Affaires municipales et Habitation,Modernisation des infrastructures municipales,programme,938349000.0
qc,2024-25,"Agriculture, Pêcheries et Alimentation",Développement des entreprises bioalimentaires et qualité des aliments,programme,796829000.0
qc,2024-25,Justice,Administration de la justice,programme,758991000.0
qc,2024-25,Ressources naturelles et Forêts,Gestion des ressources naturelles et forestières,programme,723344000.0
qc,2024-25,Conseil du trésor et Administration gouvernementale,Régimes de retraite et d'assurances,programme,719365000.0
qc,2024-25,Santé et Services sociaux,Fonctions de coordination,programme,695582000.0
qc,2024-25,Sécurité publique,Gestion du système correctionnel,programme,690420000.0
qc,2024-25,Santé et Services sociaux,Établissements de santé et de services sociaux,transfer,44014167000.0
qc,2024-25,Éducation,Institutions d'enseignement,transfer,22711452000.0
qc,2024-25,Santé et Services sociaux,Organismes et entreprises du gouvernement,transfer,10656069000.0
qc,2024-25,Enseignement supérieur,Institutions d'enseignement,transfer,9002111000.0
qc,2024-25,Emploi et Solidarité sociale,Personnes,transfer,3643983000.0
qc,2024-25,Affaires municipales et Habitation,Municipalités,transfer,2590002000.0
qc,2024-25,Santé et Services sociaux,Personnes,transfer,2462579000.0
qc,2024-25,Santé et Services sociaux,Organismes à but non lucratif,transfer,1393069000.0
qc,2024-25,Enseignement supérieur,Personnes,transfer,1096766000.0
qc,2024-25,Santé et Services sociaux,Entreprises du secteur privé,transfer,779104000.0
qc,2024-25,"Agriculture, Pêcheries et Alimentation",Entreprises du secteur privé,transfer,747900000.0
qc,2024-25,Justice,Personnes,transfer,544306000.0
qc,2024-25,Culture et Communications,Organismes à but non lucratif,transfer,442953000.0
qc,2024-25,Affaires municipales et Habitation,Personnes,transfer,399698000.0
qc,2024-25,Conseil exécutif,Municipalités,transfer,383726000.0
qc,2024-25,Affaires municipales et Habitation,Organismes à but non lucratif,transfer,375424000.0
qc,2024-25,Culture et Communications,Organismes et entreprises du gouvernement,transfer,347638000.0
qc,2024-25,Tourisme,Organismes et entreprises du gouvernement,transfer,343026000.0
qc,2024-25,"Économie, Innovation et Énergie",Organismes à but non lucratif,transfer,334486000.0
qc,2024-25,Sécurité publique,Municipalités,transfer,292479000.0
qc,2024-25,Éducation,Organismes à but non lucratif,transfer,289948000.0
qc,2024-25,Transports et Mobilité durable,Organismes et entreprises du gouvernement,transfer,271881000.0
qc,2024-25,"Économie, Innovation et Énergie",Institutions d'enseignement,transfer,188762000.0
qc,2024-25,Culture et Communications,Bénéficiaires non ventilés,transfer,181730000.0
qc,2024-25,Justice,Organismes et entreprises du gouvernement,transfer,170357000.0
