month,method_key,awards,total_cad
2021-08-01,direct,1760,343087052.7
2021-08-01,limited,391,20370870.49
2021-08-01,open,1774,2265962684.92
2021-09-01,direct,2190,505754032.37
2021-09-01,limited,493,26784982.12
2021-09-01,open,1993,3235919302.24
2021-10-01,direct,2244,407517205.43
2021-10-01,limited,493,35165716.55
2021-10-01,open,1818,2430078343.6
2021-11-01,direct,2273,1613051430.54
2021-11-01,limited,481,24707829.37
2021-11-01,open,1384,1386105670.82
2021-12-01,direct,2441,9998574972.48
2021-12-01,limited,421,21256359.48
2021-12-01,open,1320,1785781043.66
2022-01-01,direct,2683,1171586113.93
2022-01-01,limited,335,27008381.18
2022-01-01,open,1275,1590663846.79
2022-02-01,direct,2332,523699569.17
2022-02-01,limited,428,25380925.39
2022-02-01,open,1583,1871410185.84
2022-03-01,direct,2995,854329345.64
2022-03-01,limited,737,44292596.43
2022-03-01,open,2292,2621536439.68
2022-04-01,direct,3119,716917089.14
2022-04-01,limited,838,63093803.92
2022-04-01,open,2746,3576954153.67
2022-05-01,direct,2710,500628824.17
2022-05-01,limited,736,61974233.04
2022-05-01,open,2869,3333946302.59
2022-06-01,direct,3022,662433349.06
2022-06-01,limited,778,50763558.4
2022-06-01,open,2540,3292965224.12
2022-07-01,direct,2487,471636890.81
2022-07-01,limited,471,32992261.07
2022-07-01,open,1596,2808605382.07
2022-08-01,direct,2081,1039869405.19
2022-08-01,limited,423,46679736.54
2022-08-01,open,1620,2991533316.32
2022-09-01,direct,2317,3851188736.22
2022-09-01,limited,543,35957499.22
2022-09-01,open,2282,2234503377.75
2022-10-01,direct,2542,309731107.79
2022-10-01,limited,565,30355680.64
2022-10-01,open,2047,2547453874.75
2022-11-01,direct,2815,613744322.66
2022-11-01,limited,538,35875402.82
2022-11-01,open,2710,3488100868.83
2022-12-01,direct,2655,505468804.68
2022-12-01,limited,508,32901664.17
2022-12-01,open,2107,1753869862.89
2023-01-01,direct,2918,569546059.12
2023-01-01,limited,386,20206538.47
2023-01-01,open,1304,1420500305.34
2023-02-01,direct,2618,509389834.98
2023-02-01,limited,475,29909661.51
2023-02-01,open,1629,2337664541.6
2023-03-01,direct,3378,792614178.12
2023-03-01,limited,768,47076717.52
2023-03-01,open,2712,5844249824.97
2023-04-01,direct,3412,1274107536.8
2023-04-01,limited,663,64598474.82
2023-04-01,open,3282,5787920324.02
2023-05-01,direct,3288,725936687.8
2023-05-01,limited,861,64286131.03
2023-05-01,open,3006,3770023621.98
2023-06-01,direct,3379,1160799750.04
2023-06-01,limited,783,47874117.04
2023-06-01,open,2840,5536624167.48
2023-07-01,direct,2783,1150836534.85
2023-07-01,limited,586,48440850.5
2023-07-01,open,1979,3082061673.53
2023-08-01,direct,2283,627079022.27
2023-08-01,limited,463,27099597.24
2023-08-01,open,1660,2408917927.07
2023-09-01,direct,2435,400371970.81
2023-09-01,limited,509,47288292.65
2023-09-01,open,1772,4504333554.31
2023-10-01,direct,2687,823927492.19
2023-10-01,limited,644,41993553.47
2023-10-01,open,2021,2616221183.62
2023-11-01,direct,2905,947672195.03
2023-11-01,limited,552,55969493.38
2023-11-01,open,1807,7021736518.09
2023-12-01,direct,2890,2346707364.79
2023-12-01,limited,525,50793351.25
2023-12-01,open,1698,4417637222.05
2024-01-01,direct,2818,822481153.92
2024-01-01,limited,443,36927355.18
2024-01-01,open,1212,2217763943.24
2024-02-01,direct,3050,1300706200.79
2024-02-01,limited,584,43039191.26
2024-02-01,open,1707,3088857705.32
2024-03-01,direct,3343,718307704.84
2024-03-01,limited,813,73557513.62
2024-03-01,open,2107,3107196511.77
2024-04-01,direct,3390,869300063.71
2024-04-01,limited,833,45448043.67
2024-04-01,open,3361,8746031691.88
2024-05-01,direct,3042,545150025.49
2024-05-01,limited,872,51475194.68
2024-05-01,open,3394,3998824942.99
2024-06-01,direct,2926,719327526.9
2024-06-01,limited,789,62047399.46
2024-06-01,open,2349,3530683108.29
2024-07-01,direct,2863,516961190.55
2024-07-01,limited,589,51172852.69
2024-07-01,open,1969,4076571511.64
2024-08-01,direct,2221,469102319.62
2024-08-01,limited,475,28261391.25
2024-08-01,open,1430,2747001682.78
2024-09-01,direct,2440,340984525.38
2024-09-01,limited,526,33396312.69
2024-09-01,open,1601,2924460242.05
2024-10-01,direct,2720,516346246.39
2024-10-01,limited,611,51086289.16
2024-10-01,open,2091,4412637433.72
2024-11-01,direct,3003,898249611.92
2024-11-01,limited,506,216003852.72
2024-11-01,open,1553,2250116320.64
2024-12-01,direct,2468,635663875.39
2024-12-01,limited,423,25609514.05
2024-12-01,open,1783,2180598647.88
2025-01-01,direct,2407,939712330.54
2025-01-01,limited,502,97263250.05
2025-01-01,open,991,2919165212.48
2025-02-01,direct,2476,494731336.18
2025-02-01,limited,472,28086694.38
2025-02-01,open,1648,2876943677.83
2025-03-01,direct,3178,2202333740.6
2025-03-01,limited,648,161055444.26
2025-03-01,open,1929,2696997047.33
2025-04-01,direct,3032,1181663197.38
2025-04-01,limited,641,33471589.14
2025-04-01,open,2292,3588066896.05
2025-05-01,direct,2783,1881870054.4
2025-05-01,limited,666,44249600.77
2025-05-01,open,2493,2949984342.63
2025-06-01,direct,2487,622673113.3
2025-06-01,limited,605,50206892.9
2025-06-01,open,2403,3829330204.86
2025-07-01,direct,2381,750062958.91
2025-07-01,limited,436,31687419.93
2025-07-01,open,2071,2586043931.97
2025-08-01,direct,1600,352774540.49
2025-08-01,limited,417,24622988.68
2025-08-01,open,1864,1971705251.13
2025-09-01,direct,1969,419982242.89
2025-09-01,limited,402,50554078.44
2025-09-01,open,1440,1894629366.05
2025-10-01,direct,1572,262124312.17
2025-10-01,limited,332,20874531.38
2025-10-01,open,996,983645472.35
2025-11-01,direct,389,38476045.7
2025-11-01,limited,83,4466446.01
2025-11-01,open,118,145014564.56
2025-12-01,direct,455,68048765.63
2025-12-01,limited,93,4369387.16
2025-12-01,open,134,230250749.04
2026-01-01,direct,539,434529692.46
2026-01-01,limited,75,4142758.7
2026-01-01,open,155,194999198.43
2026-02-01,direct,722,213008885.4
2026-02-01,limited,155,6572969.92
2026-02-01,open,267,1199002560.05
2026-03-01,direct,1512,296595917.89
2026-03-01,limited,263,14094985.66
2026-03-01,open,671,1020338078.42
2026-04-01,direct,2381,396303408.01
2026-04-01,limited,600,51981436.57
2026-04-01,open,2544,3598466369.97
2026-05-01,direct,2116,321764703.2
